song_id|track_num|song_name|topic|theme|lyrics
88|16.0|The Train Wheels are Rolling|trains|Seasons & Weather, Transportation, Water & Sea|
89|17.0|Here is The Little Boy|trains|Seasons & Weather, Transportation, Water & Sea|
107|35.0|Train is A'leaving|trains|Seasons & Weather, Transportation, Water & Sea|
94|22.0|One Cold and Frosty Morning|Seasons & Weather|Seasons & Weather, Water & Sea|
257|1.0|Snow Flakes|Seasons & Weather|Seasons & Weather, Water & Sea|
258|2.0|Chubby Little Snowman|Seasons & Weather|Seasons & Weather, Water & Sea|
259|3.0|It's Going to be a Long Winter|Seasons & Weather|Seasons & Weather, Water & Sea|
260|4.0|Snow On the Rooftops|Seasons|Seasons & Weather, Water & Sea|
270|14.0|Almost Day|Seasons & Light|Seasons & Weather, Water & Sea|
322|13.0|A Chubby Little Snowman? Voici in ...|Seasons|Seasons & Weather, Water & Sea|
324|15.0|Snowflakes|Seasons|Seasons & Weather, Water & Sea|
325|16.0|Spring is Coming|Seasons|Seasons & Weather, Water & Sea|
326|17.0|Welcome Summer|Seasons|Seasons & Weather, Water & Sea|
364|1.0|Welcome Summer|Seasons & Weather|Seasons & Weather, Water & Sea|
401|19.0|I Hear Thunder/ I see blue skies|Seasons & Weather|Seasons & Weather, Water & Sea|
402|20.0|Puddles|Seasons & Weather|Seasons & Weather, Water & Sea|
1|1.0|How'd ja do||Stories & Rhymes|
7|7.0|Rum Tum Tiddle||Stories & Rhymes|
8|8.0|Palm Tickles ||Stories & Rhymes|
21|21.0|Coulter's Candy||Stories & Rhymes|
32|32.0|Shoofly||Stories & Rhymes|
41|5.0|Razzama Tazzama||Stories & Rhymes|
43|7.0|Who's That Sitting There|names|Stories & Rhymes|
44|8.0|Davy Davy Dumpling||Stories & Rhymes|
46|10.0|A Smooth Road||Stories & Rhymes|
48|12.0|X Marks the Spot||Stories & Rhymes|
50|14.0|How Go The Ladies||Stories & Rhymes|
52|16.0|Wibbleton to Wobbleton/ Trumpety Trumpety trump||Stories & Rhymes|
57|21.0|Duke of York||Stories & Rhymes|
59|23.0|Dirty Bill||Stories & Rhymes|
66|30.0|Jim along Josie||Stories & Rhymes|
67|31.0|There's a Cobbler down the Street||Stories & Rhymes|
69|34.0|Wobbi-Do-Wop||Stories & Rhymes|
87|15.0|Jeremiah Blow the Fire|Elements & Sensory|Stories & Rhymes|
111|4.0|Put your Shoes on Lucy||Stories & Rhymes|
116|9.0|Duke of York||Stories & Rhymes|
118|11.0|Dropped My Hat ||Stories & Rhymes|
119|12.0|Come Look a see||Stories & Rhymes|
121|14.0|Zoom, Zoom, Zoom||Stories & Rhymes|
123|16.0|Simple Gifts|Values|Stories & Rhymes|
130|23.0|Alley Bally||Stories & Rhymes|
131|24.0|All the little ones are sleeping||Stories & Rhymes|
156|3.0|Jarvis to Port Dover|Geography & Travel|Stories & Rhymes|
158|5.0|Jack's House|houses|Stories & Rhymes|
180|2.0|Up and Down the Rocky Road||Stories & Rhymes|
189|11.0|I'm Going to the Woods||Stories & Rhymes|
193|15.0|Button It Up|clothes|Stories & Rhymes|
194|16.0|Harry went to Hampstead||Stories & Rhymes|
196|18.0|The Ponies are Walking||Stories & Rhymes|
197|19.0|Pace Goes the Lady||Stories & Rhymes|
198|20.0|Jarvis to Port Dover||Stories & Rhymes|
199|21.0|Down by the Banks of the Hanky Pank||Stories & Rhymes|
207|29.0|Here's a Little Teacup||Stories & Rhymes|
210|32.0|Suppity Sup||Stories & Rhymes|
211|33.0|Thanks A Lot|thank you|Stories & Rhymes|
219|8.0|Tall Trees||Stories & Rhymes|
222|11.0|Where are the Stars||Stories & Rhymes|
228|17.0|Everybody's Sleeping||Stories & Rhymes|
249|21.0|Here is The Little Boy||Stories & Rhymes|
290|7.0|Higglety Pigglety Pop||Stories & Rhymes|
302|19.0|May we Soar Like Eagles||Stories & Rhymes|
306|23.0|Wee Willie Winkie||Stories & Rhymes|
307|24.0|Shiloh||Stories & Rhymes|
311|2.0|I Like to Rise||Stories & Rhymes|
314|5.0|Jack's House||Stories & Rhymes|
321|12.0|Raise Up Your Tiny Windows||Stories & Rhymes|
